period,treatement,treatdate,individual,npts,iP1,tP1,vP1,sS1,iS1,tS1,vS1,vP2,iP2,tP2,sS2,iS2,tS2,vS2,vT1,tT1,iT1,vT2,tT2,iT2,iZC1,tZC1,vZC1,sZC1,aP0,vP0,iP0,tP0,decay_a,decay_tau,decay_b,iZC2,tZC2,vZC2,sZC2,aP1,aP2,Fmax,Pmax,Flow,Plow,Fhigh,Phigh,Bndwidth
ACC,T8,20-May,61.1,2048.000000,1024.000000,0.000000,0.446202,318.902505,1018.000000,-0.024012,0.337830,-0.553686,1043.000000,0.076037,-1269.032343,1033.000000,0.036018,-0.002130,-0.005292,-0.524256,893.000000,-0.002801,0.272133,1092.000000,941.000000,-0.332162,-0.000256,9.902962,-2.819979,-0.023141,102.000000,-0.424207,-0.716933,26.570710,0.004676,1033.000000,0.036018,-0.002130,-1269.032343,0.000040,-0.000041,3417.968750,0.000000,1098.632812,-3.424408,5859.375000,-3.024345,4760.742188
ACC,T8,21-May,61.1,2048.000000,1024.000000,0.000000,0.445310,330.833736,1018.000000,-0.024012,0.334864,-0.554690,1042.000000,0.072035,-1325.456237,1032.000000,0.032016,0.049299,-0.005443,-0.500244,899.000000,-0.002309,0.264129,1090.000000,944.000000,-0.320156,-0.000616,10.684308,-2.682330,-0.022909,103.000000,-0.408199,-0.727223,28.629378,0.002725,1032.000000,0.032016,0.049299,-1325.456237,0.000039,-0.000039,3662.109375,0.000000,1098.632812,-3.826896,6103.515625,-3.012909,5004.882812
ACC,T8,22-May,61.1,2048.000000,1024.000000,0.000000,0.443629,329.160070,1018.000000,-0.024012,0.324620,-0.556371,1042.000000,0.072035,-1324.710632,1032.000000,0.032016,0.056025,-0.005281,-0.508248,897.000000,-0.002103,0.256125,1088.000000,944.000000,-0.320156,-0.000207,10.090216,-2.779802,-0.023163,102.000000,-0.412201,-0.732177,28.494510,0.004973,1033.000000,0.036018,-0.050632,-1286.655080,0.000038,-0.000039,3662.109375,0.000000,1098.632812,-3.892880,6225.585938,-3.159662,5126.953125
ACC,T8,23-May,61.1,2048.000000,1024.000000,0.000000,0.439248,312.381713,1018.000000,-0.024012,0.331600,-0.559969,1042.000000,0.072035,-1296.270700,1032.000000,0.032016,0.065545,-0.005470,-0.524256,893.000000,-0.002557,0.264129,1090.000000,940.000000,-0.336164,-0.000672,10.234150,-2.851351,-0.023404,103.000000,-0.424207,-0.736837,26.772530,0.005604,1033.000000,0.036018,-0.038055,-1276.961482,0.000039,-0.000040,3540.039062,0.000000,1098.632812,-3.530544,5981.445312,-3.082747,4882.812500
ACC,T8,24-May,61.1,2048.000000,1024.000000,0.000000,0.446082,327.012690,1018.000000,-0.024012,0.336379,-0.553429,1043.000000,0.076037,-1272.993057,1032.000000,0.032016,0.079184,-0.005660,-0.520254,894.000000,-0.001911,0.260127,1089.000000,941.000000,-0.332162,-0.000749,9.827730,-2.837340,-0.023243,102.000000,-0.424207,-0.710369,27.319569,0.005659,1033.000000,0.036018,-0.022211,-1265.001385,0.000040,-0.000040,3540.039062,0.000000,1098.632812,-3.625599,5981.445312,-3.181742,4882.812500
ACC,T8,25-May,61.1,2048.000000,1024.000000,0.000000,0.446896,327.568711,1018.000000,-0.024012,0.334524,-0.552673,1043.000000,0.076037,-1280.263714,1032.000000,0.032016,0.086138,-0.005253,-0.520254,894.000000,-0.002065,0.260127,1089.000000,942.000000,-0.328160,-0.000496,9.929676,-2.831883,-0.023101,101.000000,-0.424207,-0.711759,27.329950,0.005901,1033.000000,0.036018,-0.015847,-1274.524823,0.000039,-0.000040,3540.039062,0.000000,1098.632812,-3.669353,5981.445312,-3.148444,4882.812500
ACC,T8,26-May,61.1,2048.000000,1024.000000,0.000000,0.445476,328.238110,1018.000000,-0.024012,0.333191,-0.553480,1042.000000,0.072035,-1295.443598,1032.000000,0.032016,0.074358,-0.005041,-0.516252,895.000000,-0.001937,0.256125,1088.000000,943.000000,-0.324158,-0.000086,9.813664,-2.778184,-0.022949,102.000000,-0.416203,-0.730615,26.021043,0.009380,1033.000000,0.036018,-0.029238,-1278.797061,0.000039,-0.000040,3540.039062,0.000000,1098.632812,-3.778688,5981.445312,-3.022519,4882.812500
ACC,T8,27-May,61.1,2048.000000,1024.000000,0.000000,0.444147,328.649370,1018.000000,-0.024012,0.329309,-0.555799,1042.000000,0.072035,-1314.665589,1032.000000,0.032016,0.064420,-0.005280,-0.508248,897.000000,-0.001746,0.256125,1088.000000,944.000000,-0.320156,-0.000413,9.816899,-2.791297,-0.023177,102.000000,-0.412201,-0.732811,27.726936,0.006209,1033.000000,0.036018,-0.040836,-1289.482671,0.000038,-0.000039,3540.039062,0.000000,1098.632812,-3.901218,6103.515625,-3.071105,5004.882812
ACC,T8,28-May,61.1,2048.000000,1024.000000,0.000000,0.443263,320.247677,1018.000000,-0.024012,0.332767,-0.555602,1042.000000,0.072035,-1285.871958,1032.000000,0.032016,0.081158,-0.005452,-0.512250,896.000000,-0.002219,0.260127,1089.000000,943.000000,-0.324158,-0.000189,9.746102,-2.770738,-0.023020,102.000000,-0.416203,-0.732945,25.988081,0.008344,1033.000000,0.036018,-0.021216,-1280.962476,0.000039,-0.000040,3540.039062,0.000000,1098.632812,-3.722993,5981.445312,-3.042395,4882.812500
ACC,T8,29-May,61.1,2048.000000,1024.000000,0.000000,0.445613,326.048141,1018.000000,-0.024012,0.332328,-0.552964,1043.000000,0.076037,-1290.653438,1032.000000,0.032016,0.081319,-0.005110,-0.512250,896.000000,-0.002084,0.260127,1089.000000,944.000000,-0.320156,-0.000058,9.374314,-2.783391,-0.023208,102.000000,-0.412201,-0.708257,28.166375,0.004443,1033.000000,0.036018,-0.021610,-1279.877881,0.000039,-0.000040,3540.039062,0.000000,1098.632812,-3.816036,6103.515625,-3.201488,5004.882812
ACC,T8,30-May,61.1,2048.000000,1024.000000,0.000000,0.443628,325.027280,1018.000000,-0.024012,0.332670,-0.556079,1042.000000,0.072035,-1307.973801,1032.000000,0.032016,0.058427,-0.005410,-0.508248,897.000000,-0.001840,0.260127,1089.000000,944.000000,-0.320156,-0.000197,9.937986,-2.747272,-0.023247,102.000000,-0.412201,-0.730854,27.578980,0.005589,1033.000000,0.036018,-0.046441,-1278.365345,0.000038,-0.000039,3540.039062,0.000000,1098.632812,-3.847476,6103.515625,-3.119809,5004.882812
ACC,T8,31-May,61.1,2048.000000,1024.000000,0.000000,0.444567,341.025003,1018.000000,-0.024012,0.322942,-0.554660,1041.000000,0.068033,-1362.996901,1032.000000,0.032016,0.036261,-0.005174,-0.484236,903.000000,-0.002190,0.252123,1087.000000,947.000000,-0.308150,-0.000437,10.186492,-2.583830,-0.022938,104.000000,-0.392191,-0.740099,28.182972,0.005667,1032.000000,0.032016,0.036261,-1362.996901,0.000037,-0.000037,3784.179688,0.000000,1220.703125,-3.299858,6347.656250,-3.050894,5126.953125
EXPT,T8,31-May,61.1,2048.000000,1024.000000,0.000000,0.444567,341.025003,1018.000000,-0.024012,0.322942,-0.554660,1041.000000,0.068033,-1362.996901,1032.000000,0.032016,0.036261,-0.005174,-0.484236,903.000000,-0.002190,0.252123,1087.000000,947.000000,-0.308150,-0.000437,10.186492,-2.583830,-0.022938,104.000000,-0.392191,-0.740099,28.182972,0.005667,1032.000000,0.032016,0.036261,-1362.996901,0.000037,-0.000037,3784.179688,0.000000,1220.703125,-3.299858,6347.656250,-3.050894,5126.953125
EXPT,T8,1-Jun,61.1,2048.000000,1024.000000,0.000000,0.450788,349.883153,1018.000000,-0.024012,0.324273,-0.549013,1041.000000,0.068033,-1300.455774,1032.000000,0.032016,0.017324,-0.005514,-0.492240,901.000000,-0.002349,0.260127,1089.000000,945.000000,-0.316154,-0.000890,9.598110,-2.667247,-0.023595,103.000000,-0.404197,-0.717221,27.362699,0.004049,1032.000000,0.032016,0.017324,-1300.455774,0.000037,-0.000038,3662.109375,0.000000,1220.703125,-3.267793,6225.585938,-3.051405,5004.882812
ACC,T8,4-Jun,61.2,2048.000000,1024.000000,0.000000,0.349264,199.564008,1017.000000,-0.028014,0.262599,-0.649800,1041.000000,0.068033,-1235.378256,1033.000000,0.036018,-0.103728,-0.005567,-0.420205,919.000000,-0.001345,0.220107,1079.000000,957.000000,-0.268131,-0.000029,8.322885,-1.747989,-0.016859,106.000000,-0.344168,-0.830370,31.485574,0.015495,1032.000000,0.032016,-0.008477,-1217.301476,0.000028,-0.000039,4028.320312,0.000000,1342.773438,-3.621179,6591.796875,-3.024413,5249.023438
ACC,T8,5-Jun,61.2,2048.000000,1024.000000,0.000000,0.352642,209.865893,1018.000000,-0.024012,0.275046,-0.646031,1042.000000,0.072035,-1234.769078,1033.000000,0.036018,-0.094758,-0.005289,-0.432211,916.000000,-0.000275,0.212104,1077.000000,955.000000,-0.276135,-0.000095,7.805276,-1.714515,-0.016087,103.000000,-0.364178,-0.807945,33.044492,0.016842,1032.000000,0.032016,0.000538,-1214.407578,0.000028,-0.000039,4028.320312,0.000000,1342.773438,-3.677410,6591.796875,-3.013691,5249.023438
ACC,T8,7-Jun,61.2,2048.000000,1024.000000,0.000000,0.362841,209.371205,1017.000000,-0.028014,0.273183,-0.635710,1042.000000,0.072035,-1154.793451,1033.000000,0.036018,-0.046196,-0.005659,-0.468229,907.000000,-0.001700,0.236115,1083.000000,949.000000,-0.300147,-0.000037,7.166518,-1.980795,-0.017970,102.000000,-0.392191,-0.865041,29.343374,0.014047,1032.000000,0.032016,0.040612,-1116.030990,0.000030,-0.000041,3784.179688,0.000000,1342.773438,-3.139998,6225.585938,-3.101804,4882.812500
ACC,T8,9-Jun,61.2,2048.000000,1024.000000,0.000000,0.363368,212.040429,1017.000000,-0.028014,0.272216,-0.635125,1043.000000,0.076037,-1144.433526,1034.000000,0.040020,-0.128538,-0.005245,-0.456223,910.000000,-0.001906,0.244119,1085.000000,952.000000,-0.288141,-0.000301,7.565023,-2.080459,-0.019114,102.000000,-0.380186,-0.788839,30.715946,0.007210,1033.000000,0.036018,-0.038585,-1142.524362,0.000030,-0.000041,3784.179688,0.000000,1342.773438,-3.180851,6225.585938,-3.063566,4882.812500
